rank,uid,username,type,accompany,medal_name,medal_level
42,1418947,腊鸡玲珑_躺平中,舰长,682,薇我50,34
43,15016606,地狱掌管者-路西法,舰长,1058,薇我50,34
44,672722632,亿穷二白王道长,舰长,610,薇我50,34
45,13038645,回忆的熊孩子,舰长,1275,薇我50,34
46,105294017,YNC小影子,舰长,657,薇我50,34
47,301640080,压力史莱姆,舰长,758,薇我50,34
48,175445590,过路人333,舰长,1040,薇我50,34
49,1887203,漆黑小透明,舰长,1024,薇我50,34
50,1276746344,爱莉希雅nya,舰长,1256,薇我50,34
51,284241412,B站-市场调研-员,舰长,992,薇我50,34
52,3665701,黑腹小萝莉,舰长,957,薇我50,34
53,11154077,-逍遥哈利-,舰长,1035,薇我50,34
54,108038351,泽云熙海,舰长,841,薇我50,34
55,224567449,童山闻颜,舰长,1091,薇我50,34
56,36227964,fft肥肥羊,舰长,797,薇我50,34
57,38403401,珍惜未来,舰长,1095,薇我50,33
58,8657762,金Au银Ag,舰长,1159,薇我50,33
59,110366,Melody一野猫,舰长,908,薇我50,33
60,76557065,昔日猖狂,舰长,587,薇我50,33
61,392082420,V圈守墓人-逆风21314号,舰长,914,薇我50,33
62,34639269,Sam-_-_-,舰长,579,薇我50,33
63,157504414,虾滑馅鱼之咸,舰长,614,薇我50,33
64,352626239,跳楼投简历,舰长,425,薇我50,33
65,17212506,仙狐晓梦,舰长,781,薇我50,33
66,14121293,-悠乐美-,舰长,503,薇我50,33
67,34936482,可爱多一点的小可爱,舰长,985,薇我50,33
68,92484205,依旧是那片羽,舰长,1016,薇我50,33
69,7345183,无知的弟弟,舰长,758,薇我50,33
70,119549172,桜小路瑞希,舰长,790,薇我50,33
71,3221225,Sailaphair,舰长,837,薇我50,33
72,365247143,穆-夏,舰长,1047,薇我50,33
73,266220921,羽飘漂,舰长,668,薇我50,33
74,3546707608472248,英之胜刃,舰长,489,薇我50,33
75,15306134,亡雨轩,舰长,606,薇我50,33
76,18526621,不科学的事事,舰长,846,薇我50,33
77,295283958,黎_明_樱,舰长,378,薇我50,33
78,44477862,薇拉坏女孩骗我童真,舰长,587,薇我50,33
79,261020,绯の亚莉亚,舰长,548,薇我50,33
80,919906,怜怜_Official,舰长,742,薇我50,32
81,17498256,泠-梦怜,舰长,756,薇我50,32
82,178811338,影噬百災,舰长,427,薇我50,32
83,535542637,ulsmallzhou,舰长,704,薇我50,32
84,286681,焚风浩克,舰长,838,薇我50,32
85,102413528,汪情许爱今生缘,舰长,742,薇我50,32
86,11038787,无始虚空,舰长,368,薇我50,32
87,3546665562671221,米里尔Miller,舰长,674,薇我50,32
88,578482,咩噗菲宝-尤菲,舰长,110,薇我50,32
89,2399315,雙轉輪迴,舰长,458,薇我50,32
90,486631237,-未存-,舰长,227,薇我50,32
91,166737838,风忆清浅丶,舰长,712,薇我50,32
92,7640597,空灬白丶采佩西,舰长,532,薇我50,32
93,616115,无聊的仁,舰长,494,薇我50,32
94,35052282,Dragonin_the_sky,舰长,399,薇我50,32
95,26520322,凛冬-乐乐,舰长,472,薇我50,31
96,3493259942824884,是落零哟,舰长,325,薇我50,31
97,3546824000407733,璃星璇,舰长,536,薇我50,31
98,76648977,血魔之渊,舰长,400,薇我50,31
99,19168683,脸黑的又,舰长,497,薇我50,31
100,240594618,姜山石头人,舰长,376,薇我50,31
101,33540376,镜中觅己,舰长,313,薇我50,31
102,493895182,达纳萨玛621,舰长,317,薇我50,31
103,142346059,真寻酱又被撅了,舰长,471,薇我50,31
104,110477673,水墨丹菁,舰长,241,薇我50,31
105,357368,小北是真姬厨,舰长,374,薇我50,31
106,306389908,日辰er,舰长,487,薇我50,31
107,119100882,剑心r小兵,舰长,224,薇我50,30
108,1418516223,白夏之季,舰长,369,薇我50,30
109,58181607,慧如群星,舰长,424,薇我50,30
110,499682025,易浮尘,舰长,177,薇我50,30
111,12153648,初雪兰,舰长,339,薇我50,30
112,224748418,FUTR未来,舰长,151,薇我50,30
113,16120203,诺诺维亚,舰长,217,薇我50,30
114,12061686,盗心の魔理沙,舰长,366,薇我50,30
115,7241260,叫我雪糕,舰长,344,薇我50,30
116,19994336,Saiei-YOYO,舰长,193,薇我50,30
117,85447188,无尽光之旋律,舰长,360,薇我50,30
118,397045566,血姬不是雌小鬼づ,舰长,282,薇我50,30
119,1245362248,痴呆嘎嘎菜,舰长,208,薇我50,29
120,295193005,云眠Comet,舰长,137,薇我50,29
121,51187180,丕凊,舰长,139,薇我50,29
122,14757363,猫ブブブブブブブブブ,舰长,112,薇我50,29
123,409738506,郁林郡那边的月夜清风,舰长,227,薇我50,29
124,43425689,magic-lamp,舰长,189,薇我50,28
125,500330198,丧钟亦是晚钟,舰长,86,薇我50,28
126,622806781,啊碎碎冰L-,舰长,167,薇我50,28
127,454539765,段某不会下棋,舰长,107,薇我50,28
128,322301653,景凤团子0vo,舰长,66,薇我50,28
129,381895261,混吃等死的小六月,舰长,178,薇我50,27
130,3546755765373645,繁星无薇不至,舰长,36,薇我50,27
131,2066667300,--菁华浮梦--,舰长,159,薇我50,27
132,43833224,我怎么想不到好名字呢,舰长,96,薇我50,27
133,415202603,多一点的免子,舰长,121,薇我50,27
134,11857981,俯瞰风景の幽灵,舰长,107,薇我50,26
135,28335323,偷一缕暖火,舰长,96,薇我50,26
136,1334931,索霖马可夫,舰长,39,薇我50,26
137,3546385997629654,源陵の爹,舰长,89,薇我50,26
138,567586524,叫我随风就好,舰长,85,薇我50,26
139,15258517,月升千绫,舰长,84,薇我50,25
140,97229933,千月寒雪,舰长,68,薇我50,25
141,3546700568332496,梦水何又问,舰长,85,薇我50,25
142,25643898,帝天天天天天天,舰长,96,薇我50,25
143,3493257803729089,天倾神灭,舰长,96,薇我50,25
144,7294811,执行者NO·XI,舰长,77,薇我50,25
145,13010860,亚莉丝,舰长,75,薇我50,25
146,1182882611,冰绒の养成计划,舰长,86,薇我50,25
147,385307665,全世界唯一孤寡,舰长,91,薇我50,25
148,22163343,北京复禾,舰长,86,薇我50,25
149,1499957472,摆烂等死的卡皮巴拉,舰长,36,薇我50,24
150,14040859,迷失的晓焰,舰长,36,薇我50,24
151,390641423,喾爨,舰长,35,薇我50,24
152,537822,风夜,舰长,61,薇我50,24
153,95784849,燃烧至整个夜晚,舰长,19,薇我50,24
154,3493086355261791,刻猫月,舰长,38,薇我50,24
155,598686317,思菌念菌不见菌,舰长,53,薇我50,23
156,1278231008,東冥脩Real,舰长,10,薇我50,23
157,3546949619812528,苏代宗,舰长,61,薇我50,23
158,39823035,绝代双喵,舰长,47,薇我50,23
159,2267304,芒果年糕Zz,舰长,44,薇我50,23
160,18134814,_Charlotte-_-,舰长,36,薇我50,23
161,202545602,魔尊小龙,舰长,31,薇我50,23
162,24221191,西柯正东,舰长,26,薇我50,22
163,1316840405,抑尘の,舰长,9,薇我50,22
164,547992063,萨摩Nonoko,舰长,9,薇我50,21
165,1351363002,賽諾斯,舰长,31,薇我50,21
166,27731243,妖云家的尘梦,舰长,13,薇我50,21
167,1733965749,空崎日奈犬找女朋友ing,舰长,6,薇我50,21
168,15358002,老开阳,舰长,28,薇我50,21
169,1256604116,瞓光,舰长,23,薇我50,21
170,5914459,击溃浮华的妄想,舰长,28,薇我50,21
171,1582836122,得闲饮茶qmq,舰长,9,薇我50,21
172,154455396,若梦浅汐ovo,舰长,3,薇我50,21
